id,name,class,rank,cost,focusCost,range,isAttack,damage,hasGraze,grazeDamage,hasResistance,resistanceDV,tags,description,isInnate,isHeroicTalent,parent
paladin-stance,Guardian's Stance,paladin,0,passive,0,,FALSE,,FALSE,,FALSE,10,"shield,weapon,stance",You can perform *Shield* **Actions**. You have a **Block Rating** equal to 4+[tier].,FALSE,FALSE,
paladin-raise-shield,Raise Shield,paladin,0,1,0,,FALSE,,FALSE,,FALSE,10,shield,"Until the start of your next turn, attacks against you have **+1 Disadvantage** and you have the **Block Reaction**.",FALSE,FALSE,
paladin-block,Raise Shield: Block,paladin,0,reaction,0,,FALSE,,FALSE,,FALSE,10,"shield,reaction,limitround","**Condition:** You are targeted by an **Attack** that gains **+1 Disadvantage** from **Raise Shield**.
**Effect:** Gain **Barrier** equal to your **Block Rating**. If you have no **Barrier** remaining after the attack, you can't use this *Reaction* for the rest of the encounter.",FALSE,FALSE,
paladin-entrenched,Entrenched,paladin,0,passive,0,,FALSE,,FALSE,,FALSE,10,,Hostile characters treat tiles adjacent to you as **Difficult Terrain**.,FALSE,FALSE,
paladin-shove,Shove,paladin,0,1,0,Melee,FALSE,,FALSE,,TRUE,10+[tier],melee,"Target hostile character makes a **Resistance Roll** or suffers **Push 2** and becomes **Prone.**
**Resist:** **Push 1**.",FALSE,FALSE,
paladin-ultimate,Ultimate: Absolute Defense,paladin,0,1,0,,FALSE,,FALSE,,FALSE,10,"heroic,ultimate,shield","Clear **Prone.** Clear **Immobilized**. **Teleport** to a free space adjacent to an allied character. Until the start of your next turn, you and that character are **Invulnerable**.",FALSE,FALSE,
paladin-devotion-aura,Devotion Aura,paladin,1,passive,0,,FALSE,,FALSE,,FALSE,10,aura,Allied characters within your **Aura** have **+1 Advantage** on **Resistance Rolls**.,FALSE,FALSE,
paladin-defensive-reflexes,Defensive Reflexes,paladin,1,0,1,,FALSE,,FALSE,,FALSE,10,,Perform a *Shield* **Action** that costs **1 AP** or less. You're **Stunned +1**. This **Condition** can't be prevented.,FALSE,FALSE,
paladin-pavise,Pavise,paladin,1,passive,0,,FALSE,,FALSE,,FALSE,10,aura,Allied characters within your **Aura** can use you as **Cover**.,FALSE,FALSE,
paladin-shield-slam,Shield Slam,paladin,1,1,2,Melee,TRUE,[atk]+1,TRUE,[tier]+1,TRUE,10+[tier],"melee,shield,attack,limitround",**On Hit:** Target makes a **Resistance Roll** or becomes **Prone**.,FALSE,FALSE,
paladin-opportunity,Guardian,paladin,2,reaction,0,,FALSE,,FALSE,,FALSE,10,"attack,reaction,limitround","**Condition:** An hostile character within **Range** of a  *Melee Attack* **Action** that costs **2 AP** or less performs an *Action* targeting a character other than you.
**Effect:** Perform that *Melee Attack* **Action** on the triggering character before the triggering **Action**.",FALSE,FALSE,
